Month,Avg. Players,Gain,% Gain,Peak Players
Last 30 Days,29306.9,-1354.4,-4.42%,56995
May 2026,30661.3,-5017.0,-14.06%,56995
April 2026,35678.3,-12239.0,-25.54%,83346
March 2026,47917.3,-28556.6,-37.34%,83024
February 2026,76473.8,+42599.2,+125.76%,171120
January 2026,33874.6,-600.4,-1.74%,64412
December 2025,34475.0,+12401.5,+56.18%,68577
November 2025,22073.5,-7452.1,-25.24%,37770
October 2025,29525.7,-38886.6,-56.84%,61493
September 2025,68412.3,+27978.8,+69.20%,177327
August 2025,40433.5,+2481.7,+6.54%,163085
July 2025,37951.8,-15184.7,-28.58%,75108
June 2025,53136.4,-7154.9,-11.87%,119358
May 2025,60291.3,+32325.7,+115.59%,162997
April 2025,27965.7,-10555.6,-27.40%,48671
March 2025,38521.3,-14755.1,-27.70%,74048
February 2025,53276.3,+6437.4,+13.74%,96421
January 2025,46838.9,-9895.6,-17.44%,94361
December 2024,56734.5,+27083.9,+91.34%,148524
November 2024,29650.7,-756.6,-2.49%,56787
October 2024,30407.3,+4522.0,+17.47%,72196
September 2024,25885.3,+1311.2,+5.34%,68315
August 2024,24574.1,+645.8,+2.70%,62585
July 2024,23928.3,-17710.0,-42.53%,47007
June 2024,41638.3,-23583.1,-36.16%,91692
May 2024,65221.4,-77632.2,-54.34%,125574
April 2024,142853.6,-74191.9,-34.18%,333751
March 2024,217045.6,-57258.8,-20.87%,437818
February 2024,274304.4,-,-,458208
